Account Level - Daily Report
"January 1, 2025 - July 23, 2025"
Account name,Customer ID,Day,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC (Converted currency),Cost (Converted currency),Conv. value,Conv. value / cost (current model),Conversions,Cost / conv.,Converted currency code
HigherDOSE,458-964-9684,2025-01-01,USD,18212.83,"4,222","220,152",1.92%,4.31,18212.83,"117,280.78",6.44,187.24,97.27,USD
HigherDOSE,458-964-9684,2025-01-02,USD,19248.90,"4,322","255,912",1.69%,4.45,19248.90,"106,338.58",5.52,169.90,113.30,USD
HigherDOSE,458-964-9684,2025-01-03,USD,20301.05,"4,349","217,367",2.00%,4.67,20301.05,"88,508.82",4.36,147.82,137.33,USD
HigherDOSE,458-964-9684,2025-01-04,USD,19710.84,"4,737","280,054",1.69%,4.16,19710.84,"72,972.62",3.70,101.88,193.47,USD
HigherDOSE,458-964-9684,2025-01-05,USD,17683.11,"4,599","271,569",1.69%,3.84,17683.11,"76,812.53",4.34,128.89,137.19,USD
HigherDOSE,458-964-9684,2025-01-06,USD,14046.94,"3,639","196,507",1.85%,3.86,14046.94,"53,260.73",3.79,91.36,153.76,USD
HigherDOSE,458-964-9684,2025-01-07,USD,13041.21,"3,451","163,566",2.11%,3.78,13041.21,"72,455.64",5.56,117.34,111.14,USD
HigherDOSE,458-964-9684,2025-01-08,USD,9878.74,"2,865","128,813",2.22%,3.45,9878.74,"52,005.49",5.26,78.89,125.22,USD
HigherDOSE,458-964-9684,2025-01-09,USD,8847.58,"2,542","108,442",2.34%,3.48,8847.58,"41,333.50",4.67,61.44,144.00,USD
HigherDOSE,458-964-9684,2025-01-10,USD,7995.04,"2,471","106,663",2.32%,3.24,7995.04,"37,982.78",4.75,61.62,129.74,USD
HigherDOSE,458-964-9684,2025-01-11,USD,9482.00,"2,741","105,540",2.60%,3.46,9482.00,"40,613.12",4.28,67.65,140.15,USD
HigherDOSE,458-964-9684,2025-01-12,USD,10721.97,"3,041","126,195",2.41%,3.53,10721.97,"54,687.60",5.10,86.56,123.87,USD
HigherDOSE,458-964-9684,2025-01-13,USD,10105.83,"2,703","121,052",2.23%,3.74,10105.83,"43,593.21",4.31,83.17,121.51,USD
