"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","New customers","Returning customers"
"2024-12-08",521,339112.03,-46898.85,-6031.6,286181.58,1152,0,0,20869.84,308203.42,365,154
"2024-12-09",538,323383.09,-43166.32,-5484.6,274732.17,135,0,0,19151.63,294018.8,371,165
"2024-12-10",513,311576.03,-38324.81,-13432.56,259818.66,63,0,0,19228.85,279110.51,356,150
"2024-12-11",521,345564.89,-39723.24,-3179.6,302662.05,1915,0,0,22062.28,326639.33,366,149
"2024-12-12",461,305378.91,-33393.89,-19998.1,251986.92,102,0,0,17861.61,269950.53,341,118
"2024-12-13",524,316210.55,-35756.75,-5787.74,274666.06,1080,0,0,19012.3,294758.36,358,161
"2024-12-14",506,321847.88,-37617.36,-44884.42,239346.1,1007,0,0,17902.16,258255.26,359,142
"2024-12-15",512,350279.37,-39947.96,-4900.12,305431.29,91.53,0,0,22414.96,327937.78,386,122
"2024-12-16",596,410561.6,-54323.04,-4679,351559.56,1944,0,0,26118.94,379622.5,432,157
"2024-12-17",670,394398.22,-49990.97,-18502.99,325904.26,135,0,0,23642.35,349681.61,498,165
"2024-12-18",550,379806.25,-46995.15,-23608.52,309202.58,1004,0,0,21578.92,331785.5,395,153
"2024-12-19",517,366947.81,-47083.76,-3354.52,316509.53,1943,0,0,23774.48,342227.01,390,123
"2024-12-20",502,324692.91,-46969.63,-4313.15,273410.13,1842,0,0,20352.25,295604.38,340,159
"2024-12-21",349,239988.48,-29073.7,-22622.53,188292.25,2571,0,0,13639.74,204502.99,266,81
"2024-12-22",332,224040.17,-28798.19,-18471.4,176770.58,642,0,0,13370.22,190782.8,222,108
"2024-12-23",361,248712.63,-33711.01,-18388.15,196613.47,3024,0,0,14850.61,214488.08,226,130
"2024-12-24",259,167651.29,-20506.14,-4305.91,142839.24,-107,0,0,10434.32,153166.56,176,83
"2024-12-25",288,174561.85,-23088.8,0,151473.05,27,0,0,11410.72,162910.77,209,78
"2024-12-26",435,229577.78,-29587.51,-13043.81,186946.46,-35,0,0,14004.75,200916.21,282,145
"2024-12-27",423,266451.62,-33948.71,-29138.75,203364.16,1852,0,0,14809.2,220025.36,291,130
"2024-12-28",372,228402.76,-29329.24,-40099.35,158974.17,1142,0,0,12079.32,172195.49,246,122
"2024-12-29",413,261576.28,-30704.64,-1228.2,229643.44,156,0,0,16427.17,246226.61,300,109
"2024-12-30",392,249408.31,-30764.32,-1877.64,216766.35,172,0,0,16205.42,233143.77,280,111
"2024-12-31",511,351108.8,-41088.31,-5380.69,304639.8,45,0,0,22773.06,327457.86,376,130
